City,Date,AQI,PM2.5,PM10,NO2,SO2,CO
Delhi,2019-01-01,289,176,351,77,26,1
Delhi,2019-01-02,268,138,346,92,28,2
Delhi,2019-01-03,297,162,373,47,11,1
Delhi,2019-01-04,291,162,206,40,21,4
Delhi,2019-01-05,259,196,302,66,34,1
Delhi,2019-01-06,282,296,325,56,16,0
Delhi,2019-01-07,252,224,93,58,38,2
Delhi,2019-01-08,273,157,182,65,39,0
Delhi,2019-01-09,283,288,117,64,40,3
Delhi,2019-01-10,261,139,320,22,26,4
Delhi,2019-01-11,244,58,314,61,19,1
Delhi,2019-01-12,277,154,369,20,29,0
Delhi,2019-01-13,273,107,174,40,40,0
Delhi,2019-01-14,274,68,302,51,10,0
Delhi,2019-01-15,270,109,134,72,17,4
Delhi,2019-01-16,280,116,92,57,37,3
Delhi,2019-01-17,268,285,243,79,10,2
Delhi,2019-01-18,299,225,228,61,30,3
Delhi,2019-01-19,260,53,125,23,7,1
Delhi,2019-01-20,280,111,340,96,8,1
Delhi,2019-01-21,271,109,298,72,40,4
Delhi,2019-01-22,278,291,376,26,6,3
Delhi,2019-01-23,256,205,86,35,16,4
Delhi,2019-01-24,255,119,307,50,36,3
Delhi,2019-01-25,295,187,166,20,49,0
Delhi,2019-01-26,269,264,357,67,40,0
Delhi,2019-01-27,268,60,188,50,27,4
Delhi,2019-01-28,254,99,367,79,28,0
Delhi,2019-01-29,289,180,91,71,33,3
Delhi,2019-01-30,264,150,246,63,43,0
Delhi,2019-01-31,286,286,114,91,25,2
Delhi,2019-02-01,207,157,304,77,40,2
Delhi,2019-02-02,201,144,380,46,49,4
Delhi,2019-02-03,223,121,385,40,39,4
Delhi,2019-02-04,228,65,326,77,26,3
Delhi,2019-02-05,227,167,228,65,27,4
Delhi,2019-02-06,222,125,280,82,32,2
Delhi,2019-02-07,238,208,377,66,25,1
Delhi,2019-02-08,242,102,311,31,34,0
Delhi,2019-02-09,222,217,226,44,22,3
Delhi,2019-02-10,212,258,112,99,11,0
Delhi,2019-02-11,201,289,99,73,20,4
Delhi,2019-02-12,212,92,395,68,33,1
Delhi,2019-02-13,212,114,316,72,8,2
Delhi,2019-02-14,243,132,258,78,31,2
Delhi,2019-02-15,229,267,393,50,20,0
Delhi,2019-02-16,215,111,225,39,36,1
Delhi,2019-02-17,214,183,376,89,5,4
Delhi,2019-02-18,196,286,198,72,26,3
Delhi,2019-02-19,247,92,86,44,17,2
Delhi,2019-02-20,213,264,213,34,37,4
Delhi,2019-02-21,224,283,172,90,40,3
Delhi,2019-02-22,221,102,150,58,32,0
Delhi,2019-02-23,231,200,125,27,28,1
Delhi,2019-02-24,205,224,373,42,37,3
Delhi,2019-02-25,230,99,132,96,10,2
Delhi,2019-02-26,206,108,214,29,14,0
Delhi,2019-02-27,205,69,90,25,10,2
Delhi,2019-02-28,209,125,341,31,30,0
Delhi,2019-03-01,191,90,256,23,18,0
Delhi,2019-03-02,236,193,319,92,41,0
Delhi,2019-03-03,224,64,177,30,16,3
Delhi,2019-03-04,212,102,206,28,14,1
Delhi,2019-03-05,232,229,134,60,32,1
Delhi,2019-03-06,201,142,220,89,12,1
Delhi,2019-03-07,231,132,318,27,41,2
Delhi,2019-03-08,229,101,312,72,48,0
Delhi,2019-03-09,218,149,181,42,39,1
Delhi,2019-03-10,222,158,336,46,19,3
Delhi,2019-03-11,192,152,136,98,20,4
Delhi,2019-03-12,198,106,224,24,7,3
Delhi,2019-03-13,217,281,161,29,46,4
Delhi,2019-03-14,192,80,311,62,39,3
Delhi,2019-03-15,248,52,310,81,6,3
Delhi,2019-03-16,200,272,267,47,31,0
Delhi,2019-03-17,235,161,200,23,11,2
Delhi,2019-03-18,227,136,131,31,47,1
Delhi,2019-03-19,202,129,177,34,26,3
Delhi,2019-03-20,238,241,236,94,37,3
Delhi,2019-03-21,204,180,151,68,43,0
Delhi,2019-03-22,219,107,140,71,21,0
Delhi,2019-03-23,242,206,324,70,24,3
Delhi,2019-03-24,241,246,148,38,37,0
Delhi,2019-03-25,192,148,351,45,21,1
Delhi,2019-03-26,219,119,289,88,29,2
Delhi,2019-03-27,202,222,151,33,45,2
Delhi,2019-03-28,211,205,315,79,45,4
Delhi,2019-03-29,196,266,217,45,18,2
Delhi,2019-03-30,209,87,262,38,38,0
Delhi,2019-03-31,207,76,113,41,21,3
Delhi,2019-04-01,243,218,361,98,11,2
Delhi,2019-04-02,230,95,91,29,14,2
Delhi,2019-04-03,212,137,323,75,15,4
Delhi,2019-04-04,238,299,187,88,26,3
Delhi,2019-04-05,217,252,242,32,33,2
Delhi,2019-04-06,240,295,231,79,29,3
Delhi,2019-04-07,231,73,276,78,30,0
Delhi,2019-04-08,218,119,392,63,13,1
Delhi,2019-04-09,207,236,388,94,9,2
Delhi,2019-04-10,247,259,159,84,25,3
Delhi,2019-04-11,211,163,390,56,38,3
Delhi,2019-04-12,192,257,234,31,34,4
Delhi,2019-04-13,205,161,386,98,6,2
Delhi,2019-04-14,194,88,316,96,13,1
Delhi,2019-04-15,225,98,300,56,37,0
Delhi,2019-04-16,238,143,293,84,11,1
Delhi,2019-04-17,248,84,160,94,40,1
Delhi,2019-04-18,247,260,201,53,39,1
